pipeline,status,workflow,timestamp,duration
Pipeline 1,Completed,Workflow 1,2024-05-28 10:00,1h 30m
Pipeline 2,Pending,Workflow 2,2024-05-28 11:00,2h 15m
Pipeline 3,Completed,Workflow 3,2024-05-28 12:00,1h 45m
Pipeline 4,Canceled,Workflow 4,2024-05-28 13:00,3h 00m
Pipeline 5,Completed,Workflow 5,2024-05-25 14:00,2h 30m
Pipeline 6,Pending,Workflow 6,2024-05-25 15:00,1h 20m
Pipeline 7,Completed,Workflow 7,2024-05-25 16:00,2h 45m
Pipeline 8,Canceled,Workflow 8,2021-06-01 17:00,1h 10m
Pipeline 9,Completed,Workflow 9,2021-06-01 18:00,2h 20m
Pipeline 10,Canceled,Workflow 10,2021-06-01 19:00,1h 25m
Pipeline 11,Completed,Workflow 11,2021-06-02 10:00,2h 35m
Pipeline 12,Pending,Workflow 12,2021-06-02 11:00,1h 50m
Pipeline 13,Completed,Workflow 13,2021-06-02 12:00,2h 10m
Pipeline 14,Canceled,Workflow 14,2021-06-02 13:00,1h 35m
Pipeline 15,Completed,Workflow 15,2021-06-02 14:00,2h 00m
Pipeline 16,Pending,Workflow 16,2021-06-02 15:00,1h 25m
Pipeline 17,Completed,Workflow 17,2021-06-02 16:00,2h 30m
Pipeline 18,Canceled,Workflow 18,2021-06-02 17:00,1h 40m
Pipeline 19,Completed,Workflow 19,2021-06-02 18:00,2h 20m
Pipeline 20,Canceled,Workflow 20,2021-06-02 19:00,1h 30m
Pipeline 21,Completed,Workflow 21,2024-05-28 10:00,1h 45m
Pipeline 22,Pending,Workflow 22,2024-05-28 11:00,2h 00m
Pipeline 23,Completed,Workflow 23,2024-05-28 12:00,1h 30m
Pipeline 24,Canceled,Workflow 24,2024-05-28 13:00,2h 15m
Pipeline 25,Completed,Workflow 25,2024-05-25 14:00,1h 20m
Pipeline 26,Pending,Workflow 26,2024-05-25 15:00,2h 30m
Pipeline 27,Completed,Workflow 27,2024-05-25 16:00,1h 45m
Pipeline 28,Canceled,Workflow 28,2021-06-01 17:00,3h 00m
Pipeline 29,Completed,Workflow 29,2021-06-01 18:00,1h 25m
Pipeline 30,Canceled,Workflow 30,2021-06-01 19:00,2h 35m
Pipeline 31,Completed,Workflow 31,2021-06-02 10:00,1h 50m
Pipeline 32,Pending,Workflow 32,2021-06-02 11:00,2h 10m
Pipeline 33,Completed,Workflow 33,2021-06-02 12:00,1h 35m
Pipeline 34,Canceled,Workflow 34,2021-06-02 13:00,2h 00m
Pipeline 35,Completed,Workflow 35,2021-06-02 14:00,1h 25m
Pipeline 36,Pending,Workflow 36,2021-06-02 15:00,2h 30m
Pipeline 37,Completed,Workflow 37,2021-06-02 16:00,1h 40m
Pipeline 38,Canceled,Workflow 38,2021-06-02 17:00,2h 20m
Pipeline 39,Completed,Workflow 39,2021-06-02 18:00,1h 30m
Pipeline 40,Canceled,Workflow 40,2021-06-02 19:00,2h 00m
Pipeline 41,Completed,Workflow 41,2024-05-28 10:00,1h 45m
Pipeline 42,Pending,Workflow 42,2024-05-28 11:00,2h 00m
Pipeline 43,Completed,Workflow 43,2024-05-28 12:00,1h 30m
Pipeline 44,Canceled,Workflow 44,2024-05-28 13:00,2h 15m
Pipeline 45,Completed,Workflow 45,2024-05-25 14:00,1h 20m
Pipeline 46,Pending,Workflow 46,2024-05-25 15:00,2h 30m
Pipeline 47,Completed,Workflow 47,2024-05-25 16:00,1h 45m
Pipeline 48,Canceled,Workflow 48,2021-06-01 17:00,3h 00m
Pipeline 49,Completed,Workflow 49,2021-06-01 18:00,1h 25m
Pipeline 50,Canceled,Workflow 50,2021-06-01 19:00,2h 35m
